order,subj,sec,st_year,st_max,ex_dur,teacher_str,building,room,note,ex_date,code4,ex_time,st_num,ex_dt,teachers
 1, 01006002 ENGINEERING MATHEMATICS 2, 12, 1, 56,09:30:00 - 12:30:00,อ.สยาม สงวนรัมย์, เครื่องกล, ME-303, 45/56,2026-03-16, 010,09,45,2026-03-16 09,สยาม สงวนรัมย์
 1, 01006002 ENGINEERING MATHEMATICS 2, 12, 1, 56,09:30:00 - 12:30:00,อ.สยาม สงวนรัมย์, เครื่องกล, ME-310, 11/56,2026-03-16, 010,09,11,2026-03-16 09,สยาม สงวนรัมย์
 1, 01006002 ENGINEERING MATHEMATICS 2, 13, 1, 50,09:30:00 - 12:30:00,อ.สยาม สงวนรัมย์, เครื่องกล, ME-210, 35/50,2026-03-16, 010,09,35,2026-03-16 09,สยาม สงวนรัมย์
 1, 01006002 ENGINEERING MATHEMATICS 2, 13, 1, 50,09:30:00 - 12:30:00,อ.สยาม สงวนรัมย์, เครื่องกล, ME-212, 15/50,2026-03-16, 010,09,15,2026-03-16 09,สยาม สงวนรัมย์
 2, 01006030 CALCULUS 1, 41, 1, 63,09:30:00 - 12:30:00,"ดร.สุริภณ สมควรพาณิชย์,รศ. ดร.สุธิชัย ชัยสิทธิ์ศักดิ์,รศ. ดร.ถาวร เบญจนราสุทธิ์,ผศ. ดร.ใจปอง เกษมสุวรรณ์,ผศ. ดร.จินดา ไชยช่วย,ดร.สิริพร แฮนน่า วินเทอร์,ผศ. ดร.ธวัชชัย คำประภัสสร,ผศ. ดร.ศุกระวรรณ มะเวชะ,รศ. ดร.นภศูล วงษ์วานิช,รศ. ดร.ภัทรานิษฐ์ วงศ์พร้อมรัต", เครื่องกล, ME-408, 45/65,2026-03-16, 010,09,45,2026-03-16 09,สุริภณ สมควรพาณิชย์;สุธิชัย ชัยสิทธิ์ศักดิ์;ถาวร เบญจนราสุทธิ์;ใจปอง เกษมสุวรรณ์;จินดา ไชยช่วย;สิริพร แฮนน่า วินเทอร์;ธวัชชัย คำประภัสสร;ศุกระวรรณ มะเวชะ;นภศูล วงษ์วานิช;ภัทรานิษฐ์ วงศ์พร้อมรัต
 2, 01006030 CALCULUS 1, 41, 1, 63,09:30:00 - 12:30:00,"ดร.สุริภณ สมควรพาณิชย์,รศ. ดร.สุธิชัย ชัยสิทธิ์ศักดิ์,รศ. ดร.ถาวร เบญจนราสุทธิ์,ผศ. ดร.ใจปอง เกษมสุวรรณ์,ผศ. ดร.จินดา ไชยช่วย,ดร.สิริพร แฮนน่า วินเทอร์,ผศ. ดร.ธวัชชัย คำประภัสสร,ผศ. ดร.ศุกระวรรณ มะเวชะ,รศ. ดร.นภศูล วงษ์วานิช,รศ. ดร.ภัทรานิษฐ์ วงศ์พร้อมรัต", เครื่องกล, ME-410, 20/65,2026-03-16, 010,09,20,2026-03-16 09,สุริภณ สมควรพาณิชย์;สุธิชัย ชัยสิทธิ์ศักดิ์;ถาวร เบญจนราสุทธิ์;ใจปอง เกษมสุวรรณ์;จินดา ไชยช่วย;สิริพร แฮนน่า วินเทอร์;ธวัชชัย คำประภัสสร;ศุกระวรรณ มะเวชะ;นภศูล วงษ์วานิช;ภัทรานิษฐ์ วงศ์พร้อมรัต
 3, 01006031 CALCULUS 2, 7, 1, 63,09:30:00 - 12:30:00,รศ. ดร.นภศูล วงษ์วานิช, เครื่องกล, ME-212, 35/64,2026-03-16, 010,09,35,2026-03-16 09,นภศูล วงษ์วานิช
 3, 01006031 CALCULUS 2, 7, 1, 63,09:30:00 - 12:30:00,รศ. ดร.นภศูล วงษ์วานิช, เครื่องกล, ME-214, 29/64,2026-03-16, 010,09,29,2026-03-16 09,นภศูล วงษ์วานิช
 3, 01006031 CALCULUS 2, 8, 1, 44,09:30:00 - 12:30:00,รศ. ดร.ถาวร เบญจนราสุทธิ์, อาคาร 12 ชั้น, E12-401, 28/45,2026-03-16, 010,09,28,2026-03-16 09,ถาวร เบญจนราสุทธิ์
 3, 01006031 CALCULUS 2, 8, 1, 44,09:30:00 - 12:30:00,รศ. ดร.ถาวร เบญจนราสุทธิ์, อาคาร 12 ชั้น, E12-402, 17/45,2026-03-16, 010,09,17,2026-03-16 09,ถาวร เบญจนราสุทธิ์
 3, 01006031 CALCULUS 2, 9, 1, 46,09:30:00 - 12:30:00,"ดร.สุริภณ สมควรพาณิชย์,ผศ. ดร.วีระ เพ็งจันทร์", อาคาร 12 ชั้น, E12-403, 28/46,2026-03-16, 010,09,28,2026-03-16 09,สุริภณ สมควรพาณิชย์;วีระ เพ็งจันทร์
 3, 01006031 CALCULUS 2, 9, 1, 46,09:30:00 - 12:30:00,"ดร.สุริภณ สมควรพาณิชย์,ผศ. ดร.วีระ เพ็งจันทร์", อาคาร 12 ชั้น, E12-404, 18/46,2026-03-16, 010,09,18,2026-03-16 09,สุริภณ สมควรพาณิชย์;วีระ เพ็งจันทร์
 3, 01006031 CALCULUS 2, 10, 1, 45,09:30:00 - 12:30:00,"ดร.สุริภณ สมควรพาณิชย์,ผศ. ดร.วีระ เพ็งจันทร์", อาคาร 12 ชั้น, E12-405, 28/45,2026-03-16, 010,09,28,2026-03-16 09,สุริภณ สมควรพาณิชย์;วีระ เพ็งจันทร์
 3, 01006031 CALCULUS 2, 10, 1, 45,09:30:00 - 12:30:00,"ดร.สุริภณ สมควรพาณิชย์,ผศ. ดร.วีระ เพ็งจันทร์", อาคาร 12 ชั้น, E12-406, 17/45,2026-03-16, 010,09,17,2026-03-16 09,สุริภณ สมควรพาณิชย์;วีระ เพ็งจันทร์
 3, 01006031 CALCULUS 2, 11, 1, 48,09:30:00 - 12:30:00,"ดร.สุริภณ สมควรพาณิชย์,ผศ. ดร.วีระ เพ็งจันทร์", อาคาร 12 ชั้น, E12-407, 28/48,2026-03-16, 010,09,28,2026-03-16 09,สุริภณ สมควรพาณิชย์;วีระ เพ็งจันทร์
 3, 01006031 CALCULUS 2, 11, 1, 48,09:30:00 - 12:30:00,"ดร.สุริภณ สมควรพาณิชย์,ผศ. ดร.วีระ เพ็งจันทร์", อาคาร 12 ชั้น, E12-501, 20/48,2026-03-16, 010,09,20,2026-03-16 09,สุริภณ สมควรพาณิชย์;วีระ เพ็งจันทร์
 3, 01006031 CALCULUS 2, 14, 1, 41,09:30:00 - 12:30:00,ผศ. ดร.ธวัชชัย คำประภัสสร, อาคาร 12 ชั้น, E12-502, 28/43,2026-03-16, 010,09,28,2026-03-16 09,ธวัชชัย คำประภัสสร
 3, 01006031 CALCULUS 2, 14, 1, 41,09:30:00 - 12:30:00,ผศ. ดร.ธวัชชัย คำประภัสสร, อาคาร 12 ชั้น, E12-503, 15/43,2026-03-16, 010,09,15,2026-03-16 09,ธวัชชัย คำประภัสสร
 3, 01006031 CALCULUS 2, 21, 1, 37,09:30:00 - 12:30:00,ผศ. ดร.ณัฐพร ชื่นเจริญ, อาคาร 12 ชั้น, E12-505, 38/38,2026-03-16, 010,09,38,2026-03-16 09,ณัฐพร ชื่นเจริญ
 3, 01006031 CALCULUS 2, 22, 1, 35,09:30:00 - 12:30:00,ผศ. ดร.ใจปอง เกษมสุวรรณ์, อาคาร 12 ชั้น, E12-506, 35/35,2026-03-16, 010,09,35,2026-03-16 09,ใจปอง เกษมสุวรรณ์
 3, 01006031 CALCULUS 2, 23, 1, 31,09:30:00 - 12:30:00,ดร.สิริพร แฮนน่า วินเทอร์, อาคาร 12 ชั้น, E12-601, 28/31,2026-03-16, 010,09,28,2026-03-16 09,สิริพร แฮนน่า วินเทอร์
 3, 01006031 CALCULUS 2, 23, 1, 31,09:30:00 - 12:30:00,ดร.สิริพร แฮนน่า วินเทอร์, อาคาร 12 ชั้น, E12-602, 3/31,2026-03-16, 010,09,3,2026-03-16 09,สิริพร แฮนน่า วินเทอร์
 3, 01006031 CALCULUS 2, 27, 1, 42,09:30:00 - 12:30:00,ผศ. ดร.จินดา ไชยช่วย, อาคาร 12 ชั้น, E12-603, 28/43,2026-03-16, 010,09,28,2026-03-16 09,จินดา ไชยช่วย
 3, 01006031 CALCULUS 2, 27, 1, 42,09:30:00 - 12:30:00,ผศ. ดร.จินดา ไชยช่วย, อาคาร 12 ชั้น, E12-605, 15/43,2026-03-16, 010,09,15,2026-03-16 09,จินดา ไชยช่วย
 3, 01006031 CALCULUS 2, 28, 1, 25,09:30:00 - 12:30:00,ผศ. ดร.ใจปอง เกษมสุวรรณ์, อาคาร 12 ชั้น, E12-504, 25/25,2026-03-16, 010,09,25,2026-03-16 09,ใจปอง เกษมสุวรรณ์
 3, 01006031 CALCULUS 2, 29, 1, 28,09:30:00 - 12:30:00,"ผศ.นิจจารีย์ สัตยารักษ์,ผศ. ดร.นัชนัยน์ รุ่งเหมือนฟ้า", อาคาร 12 ชั้น, E12-606, 28/29,2026-03-16, 010,09,28,2026-03-16 09,นิจจารีย์ สัตยารักษ์;นัชนัยน์ รุ่งเหมือนฟ้า
 3, 01006031 CALCULUS 2, 29, 1, 28,09:30:00 - 12:30:00,"ผศ.นิจจารีย์ สัตยารักษ์,ผศ. ดร.นัชนัยน์ รุ่งเหมือนฟ้า", อาคาร 12 ชั้น, E12-607, 1/29,2026-03-16, 010,09,1,2026-03-16 09,นิจจารีย์ สัตยารักษ์;นัชนัยน์ รุ่งเหมือนฟ้า
